_id,userId,bitId,watchPercent,completedWatch,rewatched,replayCount,likedDuringWatch,sharedDuringWatch,addedToCart,watch_score,interaction_score,engagement_score
6a1b13173724c07c530f29c8,698e6cbe2c63bfbc0476bfa7,6a0d458cd4f03db64a78fefc,13,False,False,0,False,False,False,5.2,10,15.2
6a1b131f3724c07c530f29c9,698e6cbe2c63bfbc0476bfa7,6a0c5c48d4f03db64a78945a,34,False,False,0,False,False,False,13.600000000000001,10,23.6
6a1b13313724c07c530f29ca,698e6cbe2c63bfbc0476bfa7,6a0ad46fd382a23d66b3fe6d,100,True,False,1,True,False,False,65.0,20,85.0
6a1b13333724c07c530f29cb,698e263e2c63bfbc0476857e,6a1892d7fcdbfad047e3eedc,21,False,False,0,False,False,False,8.4,10,18.4
6a1b133a3724c07c530f29cc,698e6cbe2c63bfbc0476bfa7,6a0c58c8d4f03db64a788ccd,25,False,False,0,False,False,False,10.0,10,20.0
6a1b13463724c07c530f29cd,698e6cbe2c63bfbc0476bfa7,6a130b7ea9955ce94395f9c6,23,False,False,0,False,False,False,9.200000000000001,10,19.200000000000003
6a1b13483724c07c530f29ce,698e6cbe2c63bfbc0476bfa7,6a0eee72ed25ae0d7deabbfc,4,False,False,0,False,False,False,1.6,10,11.6
6a1b134d3724c07c530f29cf,698e6cbe2c63bfbc0476bfa7,6a0823a91a9ba20ae97f0b3b,17,False,False,0,True,False,False,6.800000000000001,20,26.8
6a1b135c3724c07c530f29d0,698e6cbe2c63bfbc0476bfa7,6a0edae6ed25ae0d7deab2c8,39,False,False,0,False,False,False,15.600000000000001,10,25.6
6a1b13623724c07c530f29fe,698e6cbe2c63bfbc0476bfa7,6a0adae0d382a23d66b425a1,33,False,False,0,True,False,False,13.200000000000001,20,33.2
6a1b13653724c07c530f29ff,698e6cbe2c63bfbc0476bfa7,6a0c55f6d4f03db64a788383,16,False,False,0,False,False,False,6.4,10,16.4
6a1b13663724c07c530f2a00,698e6cbe2c63bfbc0476bfa7,6a097a35b7bb9861659c8c38,6,False,False,0,False,False,False,2.4000000000000004,10,12.4
6a1b13743724c07c530f2a01,698e6cbe2c63bfbc0476bfa7,6a06be371a9ba20ae97cd7f0,18,False,False,0,False,False,False,7.2,10,17.2
6a1b13793724c07c530f2a02,698e6cbe2c63bfbc0476bfa7,6a06d1da1a9ba20ae97d51d9,33,False,False,0,False,False,False,13.200000000000001,10,23.200000000000003
6a1b137d3724c07c530f2a03,698e6cbe2c63bfbc0476bfa7,6a0c5135d4f03db64a78773f,17,False,False,0,False,False,False,6.800000000000001,10,16.8
6a1b13803724c07c530f2a04,698e6cbe2c63bfbc0476bfa7,6a0979edb7bb9861659c8aac,10,False,False,0,False,False,False,4.0,10,14.0
6a1b13863724c07c530f2a05,698e6cbe2c63bfbc0476bfa7,6a0816641a9ba20ae97ef8a0,10,False,False,0,True,False,False,4.0,20,24.0
6a1b13893724c07c530f2a06,698e6cbe2c63bfbc0476bfa7,6a08bb2eb7bb9861659c3e06,5,False,False,0,False,False,False,2.0,10,12.0
6a1b138a3724c07c530f2a22,698e6cbe2c63bfbc0476bfa7,6a06c0371a9ba20ae97ce5be,6,False,False,0,False,False,False,2.4000000000000004,10,12.4
6a1b139c3724c07c530f2a23,698e6cbe2c63bfbc0476bfa7,6a1598534dfbf8e8d4fdb4c1,21,False,False,0,False,False,False,8.4,10,18.4
6a1b139f3724c07c530f2a24,698e6cbe2c63bfbc0476bfa7,6a0c27f2cccd23326e8be29f,8,False,False,0,False,False,False,3.2,10,13.2
6a1b13a03724c07c530f2a25,698e6cbe2c63bfbc0476bfa7,6a09796bb7bb9861659c83dd,6,False,False,0,False,False,False,2.4000000000000004,10,12.4
6a1b13a93724c07c530f2a26,698e6cbe2c63bfbc0476bfa7,6a085a6c1a9ba20ae97fa263,13,False,False,0,False,False,False,5.2,10,15.2
6a1b13ab3724c07c530f2a27,698e6cbe2c63bfbc0476bfa7,6a094fadb7bb9861659c71bb,10,False,False,0,False,False,False,4.0,10,14.0
