_id,title,likeCount,viewCount,shareCount,product_count,avg_engagement,reel_popularity_score
6a0efbb6c5a9d08fea4c6025,Premium Checks Shirts,2,86,0,1,31.085,34.650999999999996
6a0efe70c5a9d08fea4c67cf,Maheshwari silk sarees,2,103,0,1,30.028000000000002,38.0168
6a0febf65ecfbb647dcf6c6f,Korean Style Texture Shirts,3,78,0,1,33.105000000000004,35.863
6a101a44a9955ce94394ce5d,Trendy Plain Shirts,1,108,0,1,27.066666666666666,33.04
6a108c54a9955ce94394fb1e,STREETIX - Anime Meets Urban Fashion,1,115,0,1,24.63125,27.57875
6a130a9ba9955ce94395f998,Pure mul cotton sarees,0,56,0,1,23.11578947368421,21.469473684210527
6a130b7ea9955ce94395f9c6,Hand Painted Kota sarees,0,81,0,1,22.606451612903225,25.963870967741933
6a1556b04dfbf8e8d4fda85e,My first reel,0,2,0,1,14.4,9.040000000000001
6a1598534dfbf8e8d4fdb4c1,Kota Style Hand Printed Cotton Sarees,2,84,0,1,26.355555555555554,30.21333333333333
6a1878f7fcdbfad047e3e197,Lenin Mix Sarees,0,55,0,1,22.270000000000003,21.362000000000002
6a188f05fcdbfad047e3e8ee,Risk Taker,1,59,0,1,23.696969696969695,27.418181818181818
6a18903ffcdbfad047e3ea86,Lenin mix Sarees,0,49,0,1,23.52,26.112000000000002
6a18916afcdbfad047e3ecb3,AK BEATS,1,74,0,10,24.145454545454545,27.687272727272727
6a1892d7fcdbfad047e3eedc,AK BEATS,2,66,0,10,31.48,30.887999999999998
6a189f6efcdbfad047e3fc69,Substract the Mind,0,75,0,1,29.572972972972973,32.54378378378378
6a1d93cd61d3ca2f147504b8,THE UNIFORM FOR ANCESTRAL POWER,0,64,1,1,41.21818181818182,37.93090909090909
6a1d93d461d3ca2f147504c8,Little Picks Deluxe Combo,0,37,0,1,34.75,25.65
6a1da3ea61d3ca2f14751546,Stop Buying Basic Oversized Tees,0,44,0,2,23.81,22.286
6a1da45861d3ca2f14751bce,crochet sunflower bag charm🌻✨️,1,57,0,1,32.992592592592594,30.595555555555556
6a1daccb61d3ca2f147522ed,Obsidian Gold Smartwatch – Fire-Boltt Edition | BhaariGear,0,38,0,1,46.0,33.199999999999996
6a1ea1416728afd227b9fa38,Your Smartwatch cost Less than Your gym shoes but still looks premium,0,38,0,1,35.10588235294117,27.863529411764702
6a22db91ad7941493646e922,little baby hamper,0,13,0,1,29.3,21.58
6a22df48ad7941493646eafb,Cindrella hamper,0,23,0,1,30.08888888888889,21.653333333333332
6a22e0b0ad7941493646ed22,Little cute picks,1,10,0,1,25.800000000000004,18.28
6a22ed04ad7941493646f243,Packing a luxury birthday hamper,0,8,0,1,21.0,14.2
6a22ee04ad7941493646f337,💖Pinteresty & Instagrammable gift hampers 🌸,0,21,0,1,32.44,23.464
6a254e2f9984a0ae2e2cd4fc,Hamper,0,4,0,1,19.0,12.200000000000001
6a25936d9984a0ae2e2ce1d6,Affordable picks hamper,0,2,0,1,,
