_id,userId,bitId,watchedMs,totalDurationMs,watchPercent,completedWatch,rewatched,replayCount,pauseCount,soundOn,tappedProduct,scrolledToProduct,addedToCart,likedDuringWatch,sharedDuringWatch,source,deviceType,timestamp,__v
{'$oid': '6a188acdfcdbfad047e3e5d5'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0adae0d382a23d66b425a1'},945,19233,5,False,False,0,0,True,{'$oid': '6a0adae0d382a23d66b425a1'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:34:53.923Z'},0
{'$oid': '6a188acffcdbfad047e3e5d6'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a1878f7fcdbfad047e3e197'},1667,42585,4,False,False,0,0,True,{'$oid': '6a1878f7fcdbfad047e3e197'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:34:55.784Z'},0
{'$oid': '6a188ae6fcdbfad047e3e5d7'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a101a44a9955ce94394ce5d'},21774,30314,72,False,False,0,0,True,{'$oid': '6a101a44a9955ce94394ce5d'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:35:18.067Z'},0
{'$oid': '6a188ae7fcdbfad047e3e5d9'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '69b99950d5ba7b8d34df55f8'},1065,30174,4,False,False,0,0,True,{'$oid': '69b99950d5ba7b8d34df55f8'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:35:19.288Z'},0
{'$oid': '6a188ae9fcdbfad047e3e5db'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '69e73c9ee9d9e96620249058'},796,26328,3,False,True,0,0,True,{'$oid': '69e73c9ee9d9e96620249058'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:35:21.484Z'},0
{'$oid': '6a188afafcdbfad047e3e5dc'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0eee72ed25ae0d7deabbfc'},16654,53960,31,False,True,0,0,True,{'$oid': '6a0eee72ed25ae0d7deabbfc'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:35:38.402Z'},0
{'$oid': '6a188b00fcdbfad047e3e5dd'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '69e73c9ee9d9e96620249058'},5672,26328,22,False,True,0,0,True,{'$oid': '69e73c9ee9d9e96620249058'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:35:44.31Z'},0
{'$oid': '6a188b34fcdbfad047e3e5de'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0eee72ed25ae0d7deabbfc'},49615,53960,92,False,True,0,2,True,{'$oid': '6a0eee72ed25ae0d7deabbfc'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:36:36.929Z'},0
{'$oid': '6a188b63fcdbfad047e3e5e0'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0febf65ecfbb647dcf6c6f'},46086,53866,86,False,False,0,0,True,{'$oid': '6a0febf65ecfbb647dcf6c6f'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:37:23.673Z'},0
{'$oid': '6a188b64fcdbfad047e3e5e1'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '69a69a9d0a0ce3fd3a6cae83'},817,25993,3,False,False,0,0,True,{'$oid': '69a69a9d0a0ce3fd3a6cae83'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:37:24.384Z'},0
{'$oid': '6a188b65fcdbfad047e3e5e2'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a070e151a9ba20ae97df094'},722,16500,4,False,True,0,0,True,{'$oid': '6a070e151a9ba20ae97df094'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:37:25.975Z'},0
{'$oid': '6a188b67fcdbfad047e3e5e3'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0efbb6c5a9d08fea4c6025'},833,81133,1,False,True,0,0,True,{'$oid': '6a0efbb6c5a9d08fea4c6025'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:37:27.059Z'},0
{'$oid': '6a188b68fcdbfad047e3e5e4'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0c67bed4f03db64a78af0b'},735,15633,5,False,True,0,0,True,{'$oid': '6a0c67bed4f03db64a78af0b'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:37:28.97Z'},0
{'$oid': '6a188b6afcdbfad047e3e5e5'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a130b7ea9955ce94395f9c6'},921,48926,2,False,True,0,0,True,{'$oid': '6a130b7ea9955ce94395f9c6'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:37:30.122Z'},0
{'$oid': '6a188bd6fcdbfad047e3e5e6'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0b4336d382a23d66b4511e'},30162,30162,100,True,True,3,0,True,{'$oid': '6a0b4336d382a23d66b4511e'},False,False,True,False,recommendation,android,{'$date': '2026-05-28T18:39:18.936Z'},0
{'$oid': '6a188bd8fcdbfad047e3e5e7'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0823a91a9ba20ae97f0b3b'},1752,31823,6,False,True,0,0,True,{'$oid': '6a0823a91a9ba20ae97f0b3b'},False,False,False,False,recommendation,android,{'$date': '2026-05-28T18:39:20.756Z'},0
{'$oid': '6a188bdffcdbfad047e3e5e8'},{'$oid': '69f8608068f7e97ef44183e4'},{'$oid': '6a0b4336d382a23d66b4511e'},6250,30162,21,False,True,0,0,True,{'$oid': '6a0b4336d382a23d66b4511e'},False,False,True,False,recommendation,android,{'$date': '2026-05-28T18:39:27.404Z'},0
